roi,epoch,experiment,rho,p_value
V2,38,random_target_e10_l10,0.004469976254493819,0.0015821502967464306
LO2,38,random_target_e10_l10,0.14213211517315322,0.0
LO1,38,random_target_e10_l10,0.07077208687309858,0.0
V3,38,random_target_e10_l10,0.0021288674413599616,0.13243165740492557
FFC,38,random_target_e10_l10,0.131100090077216,0.0
LO3,38,random_target_e10_l10,0.10237529413604989,0.0
V1,39,random_target_e10_l10,0.008397639210902332,2.935811512739264e-09
PIT,39,random_target_e10_l10,0.09120856225761807,0.0
V2,39,random_target_e10_l10,0.0056253017481220045,7.016629749803716e-05
LO2,39,random_target_e10_l10,0.14123732177287593,0.0
LO1,39,random_target_e10_l10,0.07077448137385382,0.0
V3,39,random_target_e10_l10,0.002762939410679305,0.05085338211583296
FFC,39,random_target_e10_l10,0.1313053748484648,0.0
LO3,39,random_target_e10_l10,0.10189508198086669,0.0
V1,40,random_target_e10_l10,0.0069934838489460645,7.704217393522207e-07
PIT,40,random_target_e10_l10,0.09134029211766523,0.0
V2,40,random_target_e10_l10,0.004283376035688281,0.002467523907052883
LO2,40,random_target_e10_l10,0.1419043610907753,0.0
LO1,40,random_target_e10_l10,0.07056183996518248,0.0
V3,40,random_target_e10_l10,0.0018322759744805557,0.19533242666855655
FFC,40,random_target_e10_l10,0.13056182600046984,0.0
LO3,40,random_target_e10_l10,0.10166954713715988,0.0
V1,41,random_target_e10_l10,0.008160615457835267,8.039779237711052e-09
PIT,41,random_target_e10_l10,0.09366022902897071,0.0
V2,41,random_target_e10_l10,0.0054615789163892925,0.00011338369786797578
LO2,41,random_target_e10_l10,0.14503133848061256,0.0
LO1,41,random_target_e10_l10,0.07151589475087206,0.0
V3,41,random_target_e10_l10,0.002468344564881654,0.0810704497727338
FFC,41,random_target_e10_l10,0.13323179333525334,0.0
LO3,41,random_target_e10_l10,0.10279403318920918,0.0
V1,42,random_target_e10_l10,0.007564265092530403,8.985408877367336e-08
PIT,42,random_target_e10_l10,0.09150146475213336,0.0
V2,42,random_target_e10_l10,0.004970454373471802,0.00044324903851432877
LO2,42,random_target_e10_l10,0.14238356708286354,0.0
LO1,42,random_target_e10_l10,0.07131373812211712,0.0
V3,42,random_target_e10_l10,0.0025972639371233284,0.0664134414980655
FFC,42,random_target_e10_l10,0.13062460907130571,0.0
LO3,42,random_target_e10_l10,0.10191245946746581,0.0
V1,43,random_target_e10_l10,0.0071753116992170326,3.9525968520640946e-07
PIT,43,random_target_e10_l10,0.09427809448388201,0.0
V2,43,random_target_e10_l10,0.004494660280326712,0.0014900040663466643
LO2,43,random_target_e10_l10,0.14574438829352865,0.0
LO1,43,random_target_e10_l10,0.07075376959384137,0.0
V3,43,random_target_e10_l10,0.0011367374904326182,0.4217487527561514
FFC,43,random_target_e10_l10,0.13424880779894796,0.0
LO3,43,random_target_e10_l10,0.10294253467566496,0.0
V1,44,random_target_e10_l10,0.0073554525620393866,2.008528881886188e-07
PIT,44,random_target_e10_l10,0.09059609774447072,0.0
V2,44,random_target_e10_l10,0.004743501249110359,0.0008008672609363627
LO2,44,random_target_e10_l10,0.1406388535361247,0.0
